"r0","r1","r2","id","w","v","r2_v","r1_v","r0_v","r2_w_avg","r1_w_avg","r0_w_avg","r2_n","r1_n","r0_n","r2_n_notna","r1_n_notna","r0_n_notna","z_level","z_ids","z_w_avg","z_n","z_n_pct","z_g_score","z"
1,2,18,1,18687019.0819305,0.999384917498681,0.999384917498681,0.999384917498681,0.999384917498681,18687019.0819305,18687019.0819305,18687019.0819305,4,4,4,4,4,4,"v","1",18687019.0819305,1,1,0,0.999384917498681
1,2,18,2,18687019.0819305,0.999384917498681,0.999384917498681,0.999384917498681,0.999384917498681,18687019.0819305,18687019.0819305,18687019.0819305,4,4,4,4,4,4,"v","2",18687019.0819305,1,1,0,0.999384917498681
1,2,18,3,18687019.0819305,0.999384917498681,0.999384917498681,0.999384917498681,0.999384917498681,18687019.0819305,18687019.0819305,18687019.0819305,4,4,4,4,4,4,"v","3",18687019.0819305,1,1,0,0.999384917498681
1,2,18,4,18687019.0819305,0.999384917498681,0.999384917498681,0.999384917498681,0.999384917498681,18687019.0819305,18687019.0819305,18687019.0819305,4,4,4,4,4,4,"v","4",18687019.0819305,1,1,0,0.999384917498681
