"cntry_key","year","usd"
"ZAF",1998,1.34296e+11
"ZAF",2002,1.11101e+11
"ZAF",2004,2.19093e+11
"ZAF",2005,2.47052e+11
"ZAF",2006,2.61007e+11
"ZAF",2007,2.86172e+11
"ZAF",2008,2.7387e+11
"ZAF",2009,2.83012e+11
"ZAF",2010,3.63523e+11
"ZAF",2011,4.08237e+11
