"rgn_id","year","count"
2,1990,11499667.8249741
4,1990,11499667.8249741
3,1990,11499667.8249741
1,1990,11499667.8249741
2,1991,11880437.4269701
4,1991,11880437.4269701
3,1991,11880437.4269701
1,1991,11880437.4269701
2,1992,12333497.1830929
4,1992,12333497.1830929
3,1992,12333497.1830929
1,1992,12333497.1830929
2,1993,12790050.5092611
4,1993,12790050.5092611
3,1993,12790050.5092611
1,1993,12790050.5092611
2,1994,13268950.1587137
4,1994,13268950.1587137
3,1994,13268950.1587137
1,1994,13268950.1587137
2,1995,13793191.0059665
4,1995,13793191.0059665
3,1995,13793191.0059665
1,1995,13793191.0059665
2,1996,14319600.7576227
4,1996,14319600.7576227
3,1996,14319600.7576227
1,1996,14319600.7576227
2,1997,14900688.2723417
4,1997,14900688.2723417
3,1997,14900688.2723417
1,1997,14900688.2723417
2,1998,15483028.3397612
4,1998,15483028.3397612
3,1998,15483028.3397612
1,1998,15483028.3397612
2,1999,16119028.8074213
4,1999,16119028.8074213
3,1999,16119028.8074213
1,1999,16119028.8074213
2,2000,16750867.1822283
4,2000,16750867.1822283
3,2000,16750867.1822283
1,2000,16750867.1822283
2,2001,17289701.2666248
4,2001,17289701.2666248
3,2001,17289701.2666248
1,2001,17289701.2666248
2,2002,17559668.1283094
4,2002,17559668.1283094
3,2002,17559668.1283094
1,2002,17559668.1283094
2,2003,17328515.9284394
4,2003,17328515.9284394
3,2003,17328515.9284394
1,2003,17328515.9284394
2,2004,16958747.8867318
4,2004,16958747.8867318
3,2004,16958747.8867318
1,2004,16958747.8867318
2,2005,17662679.1728476
4,2005,17662679.1728476
3,2005,17662679.1728476
1,2005,17662679.1728476
2,2006,18172367.9564679
4,2006,18172367.9564679
3,2006,18172367.9564679
1,2006,18172367.9564679
2,2007,18139579.5284099
4,2007,18139579.5284099
3,2007,18139579.5284099
1,2007,18139579.5284099
2,2008,18706930.6484263
4,2008,18706930.6484263
3,2008,18706930.6484263
1,2008,18706930.6484263
2,2009,18301054.4750061
4,2009,18301054.4750061
3,2009,18301054.4750061
1,2009,18301054.4750061
2,2010,18025933.0858235
4,2010,18025933.0858235
3,2010,18025933.0858235
1,2010,18025933.0858235
2,2011,18268490.6698712
4,2011,18268490.6698712
3,2011,18268490.6698712
1,2011,18268490.6698712
2,2012,18687019.0819305
4,2012,18687019.0819305
3,2012,18687019.0819305
1,2012,18687019.0819305
