"rgn_id","year","value"
2,1990,0.0858315057147896
4,1990,0.0858315057147896
3,1990,0.0858315057147896
1,1990,0.0858315057147896
2,1991,0.0871508263218268
4,1991,0.0871508263218268
3,1991,0.0871508263218268
1,1991,0.0871508263218268
2,1992,0.0852705220442679
4,1992,0.0852705220442679
3,1992,0.0852705220442679
1,1992,0.0852705220442679
2,1993,0.0879509502124301
4,1993,0.0879509502124301
3,1993,0.0879509502124301
1,1993,0.0879509502124301
2,1994,0.0874935472608325
4,1994,0.0874935472608325
3,1994,0.0874935472608325
1,1994,0.0874935472608325
2,1995,0.0869870645514408
4,1995,0.0869870645514408
3,1995,0.0869870645514408
1,1995,0.0869870645514408
2,1996,0.0883240156777194
4,1996,0.0883240156777194
3,1996,0.0883240156777194
1,1996,0.0883240156777194
2,1997,0.0864831733815388
4,1997,0.0864831733815388
3,1997,0.0864831733815388
1,1997,0.0864831733815388
2,1998,0.089352684364469
4,1998,0.089352684364469
3,1998,0.089352684364469
1,1998,0.089352684364469
2,1999,0.0911762907522091
4,1999,0.0911762907522091
3,1999,0.0911762907522091
1,1999,0.0911762907522091
2,2000,0.0853101456890924
4,2000,0.0853101456890924
3,2000,0.0853101456890924
1,2000,0.0853101456890924
2,2001,0.0856385724820092
4,2001,0.0856385724820092
3,2001,0.0856385724820092
1,2001,0.0856385724820092
2,2002,0.0836238431697965
4,2002,0.0836238431697965
3,2002,0.0836238431697965
1,2002,0.0836238431697965
2,2003,0.086086190883787
4,2003,0.086086190883787
3,2003,0.086086190883787
1,2003,0.086086190883787
2,2004,0.0813060001809994
4,2004,0.0813060001809994
3,2004,0.0813060001809994
1,2004,0.0813060001809994
2,2005,0.0895882709280896
4,2005,0.0895882709280896
3,2005,0.0895882709280896
1,2005,0.0895882709280896
2,2006,0.0872037201877621
4,2006,0.0872037201877621
3,2006,0.0872037201877621
1,2006,0.0872037201877621
2,2007,0.0916981058588482
4,2007,0.0916981058588482
3,2007,0.0916981058588482
1,2007,0.0916981058588482
2,2008,0.0939854629552416
4,2008,0.0939854629552416
3,2008,0.0939854629552416
1,2008,0.0939854629552416
2,2009,0.0938794771951636
4,2009,0.0938794771951636
3,2009,0.0938794771951636
1,2009,0.0938794771951636
2,2010,0.0915690127720366
4,2010,0.0915690127720366
3,2010,0.0915690127720366
1,2010,0.0915690127720366
2,2011,0.0890586112968239
4,2011,0.0890586112968239
3,2011,0.0890586112968239
1,2011,0.0890586112968239
2,2012,0.0942084970768687
4,2012,0.0942084970768687
3,2012,0.0942084970768687
1,2012,0.0942084970768687
2,2013,0.0948992332673021
4,2013,0.0948992332673021
3,2013,0.0948992332673021
1,2013,0.0948992332673021
