"cntry_key","sector","value"
"ZAF","aqf","2.19093e+11"
"ZAF","cf","1.11101e+11"
"ZAF","mar","1.11101e+11"
"ZAF","mmw","1.34296e+11"
"ZAF","og","2.19093e+11"
"ZAF","tour","2.86172e+11"
