"rgn_id","species_code","year","tonnes"
3,796,2009,224
1,796,2009,224
2,796,2010,276
4,796,2010,276
3,796,2010,276
1,796,2010,276
2,796,2011,0
4,796,2011,0
3,796,2011,0
1,796,2011,0
2,796,2012,0
4,796,2012,0
3,796,2012,0
1,796,2012,0
2,797,2003,515
4,797,2003,515
3,797,2003,515
1,797,2003,515
2,797,2004,760
4,797,2004,760
3,797,2004,760
1,797,2004,760
2,797,2005,830
4,797,2005,830
3,797,2005,830
1,797,2005,830
2,797,2006,833
4,797,2006,833
3,797,2006,833
1,797,2006,833
2,797,2007,783
4,797,2007,783
3,797,2007,783
1,797,2007,783
2,797,2008,1037
4,797,2008,1037
3,797,2008,1037
1,797,2008,1037
2,797,2009,914
4,797,2009,914
3,797,2009,914
1,797,2009,914
2,797,2010,1015
4,797,2010,1015
3,797,2010,1015
1,797,2010,1015
2,797,2011,1036
4,797,2011,1036
3,797,2011,1036
1,797,2011,1036
2,797,2012,0
4,797,2012,0
3,797,2012,0
1,797,2012,0
2,798,2003,0
4,798,2003,0
3,798,2003,0
1,798,2003,0
2,798,2004,0
4,798,2004,0
3,798,2004,0
1,798,2004,0
2,798,2005,0
4,798,2005,0
3,798,2005,0
1,798,2005,0
2,798,2006,0
4,798,2006,0
3,798,2006,0
1,798,2006,0
2,798,2007,0
4,798,2007,0
3,798,2007,0
1,798,2007,0
2,798,2008,0
4,798,2008,0
3,798,2008,0
1,798,2008,0
2,798,2009,0
4,798,2009,0
3,798,2009,0
1,798,2009,0
2,798,2010,0
4,798,2010,0
3,798,2010,0
1,798,2010,0
2,798,2011,0
4,798,2011,0
3,798,2011,0
1,798,2011,0
2,798,2012,0
4,798,2012,0
3,798,2012,0
1,798,2012,0
2,799,2003,0
4,799,2003,0
3,799,2003,0
1,799,2003,0
2,799,2004,0
4,799,2004,0
3,799,2004,0
1,799,2004,0
2,799,2005,0
4,799,2005,0
3,799,2005,0
1,799,2005,0
2,799,2006,0
4,799,2006,0
3,799,2006,0
1,799,2006,0
2,799,2007,0
4,799,2007,0
3,799,2007,0
1,799,2007,0
2,799,2008,0
4,799,2008,0
3,799,2008,0
1,799,2008,0
2,799,2009,0
4,799,2009,0
3,799,2009,0
1,799,2009,0
2,799,2010,0
4,799,2010,0
3,799,2010,0
1,799,2010,0
2,799,2011,0
4,799,2011,0
3,799,2011,0
1,799,2011,0
2,799,2012,0
4,799,2012,0
3,799,2012,0
1,799,2012,0
2,800,2003,0
4,800,2003,0
3,800,2003,0
1,800,2003,0
2,800,2004,0
4,800,2004,0
3,800,2004,0
1,800,2004,0
2,800,2005,0
4,800,2005,0
3,800,2005,0
1,800,2005,0
2,800,2006,0
4,800,2006,0
3,800,2006,0
1,800,2006,0
2,800,2007,0
4,800,2007,0
3,800,2007,0
1,800,2007,0
2,800,2008,0
4,800,2008,0
3,800,2008,0
1,800,2008,0
2,800,2009,0
4,800,2009,0
3,800,2009,0
1,800,2009,0
2,800,2010,0
4,800,2010,0
3,800,2010,0
1,800,2010,0
2,800,2011,0
4,800,2011,0
3,800,2011,0
1,800,2011,0
2,800,2012,0
4,800,2012,0
3,800,2012,0
1,800,2012,0
2,801,2003,14
4,801,2003,14
3,801,2003,14
1,801,2003,14
2,801,2004,2
4,801,2004,2
3,801,2004,2
1,801,2004,2
2,801,2005,1
4,801,2005,1
3,801,2005,1
1,801,2005,1
2,801,2006,0
4,801,2006,0
3,801,2006,0
1,801,2006,0
2,801,2007,0
4,801,2007,0
3,801,2007,0
1,801,2007,0
2,801,2008,0
4,801,2008,0
3,801,2008,0
1,801,2008,0
2,801,2009,0
4,801,2009,0
3,801,2009,0
1,801,2009,0
2,801,2010,0
4,801,2010,0
3,801,2010,0
1,801,2010,0
2,801,2011,0
4,801,2011,0
3,801,2011,0
1,801,2011,0
2,801,2012,0
4,801,2012,0
3,801,2012,0
1,801,2012,0
2,802,2008,11
4,802,2008,11
3,802,2008,11
1,802,2008,11
2,802,2009,18
4,802,2009,18
3,802,2009,18
1,802,2009,18
2,802,2010,0
4,802,2010,0
3,802,2010,0
1,802,2010,0
2,802,2011,0
4,802,2011,0
3,802,2011,0
1,802,2011,0
2,802,2012,0
4,802,2012,0
3,802,2012,0
1,802,2012,0
