"rgn_id","product","year","tonnes"
2,"corals",1994,6.60131403582359
4,"corals",1994,4.40399046358006
3,"corals",1994,2.51224800979204
1,"corals",1994,9.81578082413761
2,"corals",1995,20.2990406601576
4,"corals",1995,13.5422706755087
3,"corals",1995,7.72516263011052
1,"corals",1995,30.1835260342232
2,"corals",1996,34.6568986880739
4,"corals",1996,23.1209499337954
3,"corals",1996,13.1893020514082
1,"corals",1996,51.5328493267225
2,"corals",1997,40.0322544029588
4,"corals",1997,26.7070564541391
3,"corals",1997,15.2349897165246
1,"corals",1997,59.5256994263775
2,"corals",1998,44.6295981064788
4,"corals",1998,29.7741212412753
3,"corals",1998,16.9845910090583
1,"corals",1998,66.3616896431876
2,"corals",1999,30.0595549845539
4,"corals",1999,20.0538851466593
3,"corals",1999,11.4397007588745
1,"corals",1999,44.6968591099124
2,"corals",2000,12.1652787231606
4,"corals",2000,8.11592528288327
3,"corals",2000,4.6297141894739
1,"corals",2000,18.0890818044822
2,"corals",2001,10.3970696064222
4,"corals",2001,6.93628498013861
3,"corals",2001,3.95679061542246
1,"corals",2001,15.4598547980168
2,"corals",2002,10.2556128770831
4,"corals",2002,6.84191375591904
3,"corals",2002,3.90295672949835
1,"corals",2002,15.2495166374995
2,"corals",2003,13.0847474638646
4,"corals",2003,8.7293382403105
3,"corals",2003,4.97963444798065
1,"corals",2003,19.4562798478442
2,"corals",2004,14.6407714865945
4,"corals",2004,9.7674217067258
3,"corals",2004,5.57180719314592
1,"corals",2004,21.7699996135338
2,"corals",2005,12.5189205465083
4,"corals",2005,8.35185334343221
3,"corals",2005,4.76429890428419
1,"corals",2005,18.6149272057753
2,"corals",2006,9.05323067770093
4,"corals",2006,6.03975835005267
3,"corals",2006,3.44536869914337
1,"corals",2006,13.461642273103
2,"corals",2007,6.01191099691078
4,"corals",2007,4.01077702933185
3,"corals",2007,2.28794015177489
1,"corals",2007,8.93937182198248
2,"corals",2008,3.74860332748554
4,"corals",2008,2.50083744181868
3,"corals",2008,1.42659797698905
1,"corals",2008,5.57396125370672
2,"corals",2009,2.97059131612062
4,"corals",2009,1.98179570861103
3,"corals",2009,1.13051160440642
1,"corals",2009,4.41710137086193
2,"corals",2010,2.64052561432944
4,"corals",2010,1.76159618543203
3,"corals",2010,1.00489920391682
1,"corals",2010,3.92631232965505
2,"corals",2011,2.82913458678154
4,"corals",2011,1.88742448439146
3,"corals",2011,1.0766777184823
1,"corals",2011,4.2067632103447
2,"fish_oil",1976,2470.77753912255
4,"fish_oil",1976,1648.35071636854
3,"fish_oil",1976,940.298540807878
1,"fish_oil",1976,3673.90653703437
2,"fish_oil",1977,2793.77040444677
4,"fish_oil",1977,1863.83167833657
3,"fish_oil",1977,1063.21924700127
1,"fish_oil",1977,4154.17867021539
2,"fish_oil",1978,1838.937481408
4,"fish_oil",1978,1226.82591485445
3,"fish_oil",1978,699.840517013497
1,"fish_oil",1978,2734.39608672405
2,"fish_oil",1979,2567.43963750425
4,"fish_oil",1979,1712.83771958525
3,"fish_oil",1979,977.08502952269
1,"fish_oil",1979,3817.63761338781
2,"fish_oil",1980,1895.52017314363
4,"fish_oil",1980,1264.57440454228
3,"fish_oil",1980,721.374071383143
1,"fish_oil",1980,2818.53135093095
2,"fish_oil",1981,1563.0968591968
4,"fish_oil",1981,1042.80202762628
3,"fish_oil",1981,594.864439461472
1,"fish_oil",1981,2324.23667371544
2,"fish_oil",1982,1633.82522386634
4,"fish_oil",1982,1089.98763973607
3,"fish_oil",1982,621.78138242353
1,"fish_oil",1982,2429.40575397406
2,"fish_oil",1983,968.766410878669
4,"fish_oil",1983,646.301329067745
3,"fish_oil",1983,368.681367751303
1,"fish_oil",1983,1440.50089230228
2,"fish_oil",1984,831.129013231748
4,"fish_oil",1984,554.478127902101
3,"fish_oil",1984,316.300996747139
1,"fish_oil",1984,1235.84186211901
2,"fish_oil",1985,1910.30240135957
4,"fish_oil",1985,1274.43619747322
3,"fish_oil",1985,726.999712462213
1,"fish_oil",1985,2840.511688705
2,"fish_oil",1986,2253.47642673617
4,"fish_oil",1986,1503.38078742991
3,"fish_oil",1986,857.600719714116
1,"fish_oil",1986,3350.79206611981
2,"fish_oil",1987,2157.56876424427
4,"fish_oil",1987,1439.39709740904
3,"fish_oil",1987,821.101345057566
1,"fish_oil",1987,3208.18279328912
2,"fish_oil",1988,2155.8712834922
4,"fish_oil",1988,1438.2646427184
3,"fish_oil",1988,820.455338426477
1,"fish_oil",1988,3205.65873536292
2,"fish_oil",1989,482.296718681583
4,"fish_oil",1989,321.758688976634
3,"fish_oil",1989,183.546634058271
1,"fish_oil",1989,717.147958283512
2,"fish_oil",1990,59.9776532397687
4,"fish_oil",1990,40.0133990690989
3,"fish_oil",1990,22.8255676318248
1,"fish_oil",1990,89.1833800593076
2,"fish_oil",1991,97.2515014206155
4,"fish_oil",1991,64.8802166509564
3,"fish_oil",1991,37.0107965728292
1,"fish_oil",1991,144.607485355599
2,"fish_oil",1992,103.758510970213
4,"fish_oil",1992,69.2212929650568
3,"fish_oil",1992,39.4871553253385
1,"fish_oil",1992,154.283040739392
2,"fish_oil",1993,112.033729636549
4,"fish_oil",1993,74.7420095819018
3,"fish_oil",1993,42.6364376518992
1,"fish_oil",1993,166.58782312965
2,"fish_oil",1994,95.9076624918943
4,"fish_oil",1994,63.9836900208705
3,"fish_oil",1994,36.4993746565501
1,"fish_oil",1994,142.609272830685
2,"fish_oil",1995,75.1842516437195
4,"fish_oil",1995,50.158305672703
3,"fish_oil",1995,28.6127103686672
