"rgn_id","year","percent"
2,1980,5.18930581520915
4,1980,5.18930581520915
3,1980,5.18930581520915
1,1980,5.18930581520915
2,1981,5.39743068091563
4,1981,5.39743068091563
3,1981,5.39743068091563
1,1981,5.39743068091563
2,1982,5.68814342449667
4,1982,5.68814342449667
3,1982,5.68814342449667
1,1982,5.68814342449667
2,1983,6.74466557936869
4,1983,6.74466557936869
3,1983,6.74466557936869
1,1983,6.74466557936869
2,1984,5.98674874590542
4,1984,5.98674874590542
3,1984,5.98674874590542
1,1984,5.98674874590542
2,1985,20.6000003814697
4,1985,20.6000003814697
3,1985,20.6000003814697
1,1985,20.6000003814697
2,1986,3.69211398504456
4,1986,3.69211398504456
3,1986,3.69211398504456
1,1986,3.69211398504456
2,1987,14.6999998092651
4,1987,14.6999998092651
3,1987,14.6999998092651
1,1987,14.6999998092651
2,1988,15.1438722729911
4,1988,15.1438722729911
3,1988,15.1438722729911
1,1988,15.1438722729911
2,1989,11.7594336545026
4,1989,11.7594336545026
3,1989,11.7594336545026
1,1989,11.7594336545026
2,1990,13.0164405521943
4,1990,13.0164405521943
3,1990,13.0164405521943
1,1990,13.0164405521943
2,1991,19
4,1991,19
3,1991,19
1,1991,19
2,1992,11.5396611796401
4,1992,11.5396611796401
3,1992,11.5396611796401
1,1992,11.5396611796401
2,1993,15.0264816323316
4,1993,15.0264816323316
3,1993,15.0264816323316
1,1993,15.0264816323316
2,1994,20
4,1994,20
3,1994,20
1,1994,20
2,1995,16.8999996185303
4,1995,16.8999996185303
3,1995,16.8999996185303
1,1995,16.8999996185303
2,1996,21
4,1996,21
3,1996,21
1,1996,21
2,1997,22.8999996185303
4,1997,22.8999996185303
3,1997,22.8999996185303
1,1997,22.8999996185303
2,1998,25
4,1998,25
3,1998,25
1,1998,25
2,1999,25.3999996185303
4,1999,25.3999996185303
3,1999,25.3999996185303
1,1999,25.3999996185303
2,2000,26.7000007629395
4,2000,26.7000007629395
3,2000,26.7000007629395
1,2000,26.7000007629395
2,2001,25.3999996185303
4,2001,25.3999996185303
3,2001,25.3999996185303
1,2001,25.3999996185303
2,2002,27.2000007629395
4,2002,27.2000007629395
3,2002,27.2000007629395
1,2002,27.2000007629395
2,2003,27.1000003814697
4,2003,27.1000003814697
3,2003,27.1000003814697
1,2003,27.1000003814697
2,2004,24.7000007629395
4,2004,24.7000007629395
3,2004,24.7000007629395
1,2004,24.7000007629395
2,2005,23.7999992370605
4,2005,23.7999992370605
3,2005,23.7999992370605
1,2005,23.7999992370605
2,2006,22.6000003814697
4,2006,22.6000003814697
3,2006,22.6000003814697
1,2006,22.6000003814697
2,2007,22.2999992370605
4,2007,22.2999992370605
3,2007,22.2999992370605
1,2007,22.2999992370605
2,2008,22.7000007629395
4,2008,22.7000007629395
3,2008,22.7000007629395
1,2008,22.7000007629395
2,2009,23.7000007629395
4,2009,23.7000007629395
3,2009,23.7000007629395
1,2009,23.7000007629395
2,2010,24.7000007629395
4,2010,24.7000007629395
3,2010,24.7000007629395
1,2010,24.7000007629395
2,2011,24.7000007629395
4,2011,24.7000007629395
3,2011,24.7000007629395
1,2011,24.7000007629395
2,2012,25
4,2012,25
3,2012,25
1,2012,25
