"sector","value","cntry_key"
"cf",8968.28577585634,"ZAF"
"ph",8336.14066516398,"ZAF"
"sb",10543.2749781115,"ZAF"
"tour",25170.1068288056,"ZAF"
"tran",28600.480785728,"ZAF"
