"rgn_id","year","count"
2,1988,46759.2375211321
4,1988,109504.770778281
3,1988,304.827682121557
1,1988,73331.1640184655
2,1989,44643.987106953
4,1989,104551.096937071
3,1989,291.038174100399
1,1989,70013.8777818755
2,1990,44196.530288569
4,1990,103503.204393738
3,1990,288.121162788231
1,1990,69312.1441549046
2,1991,47999.9132448333
4,1991,112410.291012067
3,1991,312.915758941659
1,1991,75276.8799841577
2,1992,44460.9365903414
4,1992,104122.413623889
3,1992,289.844851290876
1,1992,69726.8049344783
2,1993,45416.86706598
4,1993,106361.093148282
3,1993,296.076648185053
1,1993,71225.9631375526
2,1994,46820.2543600027
4,1994,109647.665216008
3,1994,305.225456391398
1,1994,73426.8549675979
2,1995,53104.9887636694
4,1995,124365.79230191
3,1995,346.19620618503
1,1995,83283.0227282355
2,1996,62643.9545737655
4,1996,146704.956066596
3,1996,408.381583703521
1,1996,98242.7077759347
2,1997,69518.5184198476
4,1997,162804.396050528
3,1997,453.197484772284
1,1997,109023.888044852
2,1998,79810.0252426805
4,1998,186905.924547183
3,1998,520.288744952148
1,1998,125163.761465184
2,1999,80338.8378462253
4,1999,188144.343007485
3,1999,523.736121957437
1,1999,125993.083024332
2,2000,88820.1784492319
4,2000,208006.669851567
3,2000,579.026745465349
1,2000,139294.124953736
2,2001,96630.3338246624
4,2001,226297.157880649
3,2001,629.941852005009
1,2001,151542.566442684
2,2002,107877.771123134
4,2002,252637.365901697
3,2002,703.26490907905
1,2002,169181.59806609
2,2003,105782.859655245
4,2003,247731.32353973
3,2003,689.607992481173
1,2003,165896.208812544
2,2004,104623.539716705
4,2004,245016.329222913
3,2004,682.050281354192
1,2004,164078.080779029
2,2005,113003.18558826
4,2005,264640.498670782
3,2005,736.677947745702
1,2005,177219.637793212
2,2006,121077.747265463
4,2006,283550.195930015
3,2006,789.316742788006
1,2006,189882.740061733
2,2007,123233.675572223
4,2007,288599.13272971
3,2007,803.371433655725
1,2007,193263.820264412
2,2008,126772.652226714
4,2008,296887.010117888
3,2008,826.442341306508
1,2008,198813.895314091
2,2009,116176.061209529
4,2009,272071.009432597
3,2009,757.362209777439
1,2009,182195.567148097
2,2010,116745.551705654
4,2010,273404.690851384
3,2010,761.074769629289
1,2010,183088.682673333
2,2011,119877.749434342
4,2011,280739.938654714
3,2011,781.493848814465
1,2011,188000.81806213
2,2012,126569.262763813
4,2012,296410.695325464
3,2012,825.116427073705
1,2012,198494.92548365
2,2013,131287.898303135
4,2013,307461.198509701
3,2013,855.877637274749
1,2013,205895.025549889
