"rgn_id","product","year","usd_rel"
2,"corals",1994,0.171963764778136
4,"corals",1994,0.171963764778136
3,"corals",1994,0.171963764778136
1,"corals",1994,0.171963764778136
2,"corals",1995,0.658682634730539
4,"corals",1995,0.658682634730539
3,"corals",1995,0.658682634730539
1,"corals",1995,0.658682634730539
2,"corals",1996,1
4,"corals",1996,1
3,"corals",1996,1
1,"corals",1996,1
2,"corals",1997,1
4,"corals",1997,1
3,"corals",1997,1
1,"corals",1997,1
2,"corals",1998,1
4,"corals",1998,1
3,"corals",1998,1
1,"corals",1998,1
2,"corals",1999,1
4,"corals",1999,1
3,"corals",1999,1
1,"corals",1999,1
2,"corals",2000,0.686319668355597
4,"corals",2000,0.686319668355597
3,"corals",2000,0.686319668355597
1,"corals",2000,0.686319668355597
2,"corals",2001,0.603408567480424
4,"corals",2001,0.603408567480424
3,"corals",2001,0.603408567480424
1,"corals",2001,0.603408567480424
2,"corals",2002,0.907415937356057
4,"corals",2002,0.907415937356057
3,"corals",2002,0.907415937356057
1,"corals",2002,0.907415937356057
2,"corals",2003,1
4,"corals",2003,1
3,"corals",2003,1
1,"corals",2003,1
2,"corals",2004,1
4,"corals",2004,1
3,"corals",2004,1
1,"corals",2004,1
2,"corals",2005,1
4,"corals",2005,1
3,"corals",2005,1
1,"corals",2005,1
2,"corals",2006,1
4,"corals",2006,1
3,"corals",2006,1
1,"corals",2006,1
2,"corals",2007,1
4,"corals",2007,1
3,"corals",2007,1
1,"corals",2007,1
2,"corals",2008,0.948871487793643
4,"corals",2008,0.948871487793643
3,"corals",2008,0.948871487793643
1,"corals",2008,0.948871487793643
2,"corals",2009,0.787655458314141
4,"corals",2009,0.787655458314141
3,"corals",2009,0.787655458314141
1,"corals",2009,0.787655458314141
2,"corals",2010,0.614156302779057
4,"corals",2010,0.614156302779057
3,"corals",2010,0.614156302779057
1,"corals",2010,0.614156302779057
2,"corals",2011,0.635651773376324
4,"corals",2011,0.635651773376324
3,"corals",2011,0.635651773376324
1,"corals",2011,0.635651773376324
2,"fish_oil",1976,1
4,"fish_oil",1976,1
3,"fish_oil",1976,1
1,"fish_oil",1976,1
2,"fish_oil",1977,1
4,"fish_oil",1977,1
3,"fish_oil",1977,1
1,"fish_oil",1977,1
2,"fish_oil",1978,0.983225304411648
4,"fish_oil",1978,0.983225304411648
3,"fish_oil",1978,0.983225304411648
1,"fish_oil",1978,0.983225304411648
2,"fish_oil",1979,1
4,"fish_oil",1979,1
3,"fish_oil",1979,1
1,"fish_oil",1979,1
2,"fish_oil",1980,0.959703591040526
4,"fish_oil",1980,0.959703591040526
3,"fish_oil",1980,0.959703591040526
1,"fish_oil",1980,0.959703591040526
2,"fish_oil",1981,0.721656777525268
4,"fish_oil",1981,0.721656777525268
3,"fish_oil",1981,0.721656777525268
1,"fish_oil",1981,0.721656777525268
2,"fish_oil",1982,0.745797483353524
4,"fish_oil",1982,0.745797483353524
3,"fish_oil",1982,0.745797483353524
1,"fish_oil",1982,0.745797483353524
2,"fish_oil",1983,0.4117184114885
4,"fish_oil",1983,0.4117184114885
3,"fish_oil",1983,0.4117184114885
1,"fish_oil",1983,0.4117184114885
2,"fish_oil",1984,0.358131350199404
4,"fish_oil",1984,0.358131350199404
3,"fish_oil",1984,0.358131350199404
1,"fish_oil",1984,0.358131350199404
2,"fish_oil",1985,0.528354275911466
4,"fish_oil",1985,0.528354275911466
3,"fish_oil",1985,0.528354275911466
1,"fish_oil",1985,0.528354275911466
2,"fish_oil",1986,0.599626835975842
4,"fish_oil",1986,0.599626835975842
3,"fish_oil",1986,0.599626835975842
1,"fish_oil",1986,0.599626835975842
2,"fish_oil",1987,0.558508051323317
4,"fish_oil",1987,0.558508051323317
3,"fish_oil",1987,0.558508051323317
1,"fish_oil",1987,0.558508051323317
2,"fish_oil",1988,0.553998249135621
4,"fish_oil",1988,0.553998249135621
3,"fish_oil",1988,0.553998249135621
1,"fish_oil",1988,0.553998249135621
2,"fish_oil",1989,0.13838902791656
4,"fish_oil",1989,0.13838902791656
3,"fish_oil",1989,0.13838902791656
1,"fish_oil",1989,0.13838902791656
2,"fish_oil",1990,0.0522606488809501
4,"fish_oil",1990,0.0522606488809501
3,"fish_oil",1990,0.0522606488809501
1,"fish_oil",1990,0.0522606488809501
2,"fish_oil",1991,0.0788773245377453
4,"fish_oil",1991,0.0788773245377453
3,"fish_oil",1991,0.0788773245377453
1,"fish_oil",1991,0.0788773245377453
2,"fish_oil",1992,0.0860399515417334
4,"fish_oil",1992,0.0860399515417334
3,"fish_oil",1992,0.0860399515417334
1,"fish_oil",1992,0.0860399515417334
2,"fish_oil",1993,0.0970933882762829
4,"fish_oil",1993,0.0970933882762829
3,"fish_oil",1993,0.0970933882762829
1,"fish_oil",1993,0.0970933882762829
2,"fish_oil",1994,0.0878085014192613
4,"fish_oil",1994,0.0878085014192613
3,"fish_oil",1994,0.0878085014192613
1,"fish_oil",1994,0.0878085014192613
2,"fish_oil",1995,0.0755170797704422
4,"fish_oil",1995,0.0755170797704422
3,"fish_oil",1995,0.0755170797704422
1,"fish_oil",1995,0.0755170797704422
2,"fish_oil",1996,0.172698895540601
4,"fish_oil",1996,0.172698895540601
3,"fish_oil",1996,0.172698895540601
1,"fish_oil",1996,0.172698895540601
2,"fish_oil",1997,0.149354037157233
4,"fish_oil",1997,0.149354037157233
3,"fish_oil",1997,0.149354037157233
1,"fish_oil",1997,0.149354037157233
2,"fish_oil",1998,0.191268669254645
4,"fish_oil",1998,0.191268669254645
3,"fish_oil",1998,0.191268669254645
