"rgn_id","component","value"
2,"economy",-0.155242434968052
4,"economy",-0.155242434968052
3,"economy",-0.155242434968052
1,"economy",-0.155242434968052
2,"livelihood",0.0729111761237733
4,"livelihood",0.0729111761237733
3,"livelihood",0.0729111761237733
1,"livelihood",0.0729111761237733
