"rgn_id","product","year","tonnes"
2,"corals",1994,23.3333333333333
4,"corals",1994,23.3333333333333
3,"corals",1994,23.3333333333333
1,"corals",1994,23.3333333333333
2,"corals",1995,71.75
4,"corals",1995,71.75
3,"corals",1995,71.75
1,"corals",1995,71.75
2,"corals",1996,122.5
4,"corals",1996,122.5
3,"corals",1996,122.5
1,"corals",1996,122.5
2,"corals",1997,141.5
4,"corals",1997,141.5
3,"corals",1997,141.5
1,"corals",1997,141.5
2,"corals",1998,157.75
4,"corals",1998,157.75
3,"corals",1998,157.75
1,"corals",1998,157.75
2,"corals",1999,106.25
4,"corals",1999,106.25
3,"corals",1999,106.25
1,"corals",1999,106.25
2,"corals",2000,43
4,"corals",2000,43
3,"corals",2000,43
1,"corals",2000,43
2,"corals",2001,36.75
4,"corals",2001,36.75
3,"corals",2001,36.75
1,"corals",2001,36.75
2,"corals",2002,36.25
4,"corals",2002,36.25
3,"corals",2002,36.25
1,"corals",2002,36.25
2,"corals",2003,46.25
4,"corals",2003,46.25
3,"corals",2003,46.25
1,"corals",2003,46.25
2,"corals",2004,51.75
4,"corals",2004,51.75
3,"corals",2004,51.75
1,"corals",2004,51.75
2,"corals",2005,44.25
4,"corals",2005,44.25
3,"corals",2005,44.25
1,"corals",2005,44.25
2,"corals",2006,32
4,"corals",2006,32
3,"corals",2006,32
1,"corals",2006,32
2,"corals",2007,21.25
4,"corals",2007,21.25
3,"corals",2007,21.25
1,"corals",2007,21.25
2,"corals",2008,13.25
4,"corals",2008,13.25
3,"corals",2008,13.25
1,"corals",2008,13.25
2,"corals",2009,10.5
4,"corals",2009,10.5
3,"corals",2009,10.5
1,"corals",2009,10.5
2,"corals",2010,9.33333333333333
4,"corals",2010,9.33333333333333
3,"corals",2010,9.33333333333333
1,"corals",2010,9.33333333333333
2,"corals",2011,10
4,"corals",2011,10
3,"corals",2011,10
1,"corals",2011,10
2,"fish_oil",1976,8733.33333333333
4,"fish_oil",1976,8733.33333333333
3,"fish_oil",1976,8733.33333333333
1,"fish_oil",1976,8733.33333333333
2,"fish_oil",1977,9875
4,"fish_oil",1977,9875
3,"fish_oil",1977,9875
1,"fish_oil",1977,9875
2,"fish_oil",1978,6500
4,"fish_oil",1978,6500
3,"fish_oil",1978,6500
1,"fish_oil",1978,6500
2,"fish_oil",1979,9075
4,"fish_oil",1979,9075
3,"fish_oil",1979,9075
1,"fish_oil",1979,9075
2,"fish_oil",1980,6700
4,"fish_oil",1980,6700
3,"fish_oil",1980,6700
1,"fish_oil",1980,6700
2,"fish_oil",1981,5525
4,"fish_oil",1981,5525
3,"fish_oil",1981,5525
1,"fish_oil",1981,5525
2,"fish_oil",1982,5775
4,"fish_oil",1982,5775
3,"fish_oil",1982,5775
1,"fish_oil",1982,5775
2,"fish_oil",1983,3424.25
4,"fish_oil",1983,3424.25
3,"fish_oil",1983,3424.25
1,"fish_oil",1983,3424.25
